"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46392",19154,872,-0.0987721720320177,18965,0,0.74885895580541,0.853970390309556,21,0.01,0.720930232558139,0.870967741935484,"France"
"46393",19155,873,-0.0979563939072372,16030.4285714286,0,0.748862534957372,0.854224164961768,21,0.01,0.720930232558139,0.871198568872988,"France"
"46394",19156,874,-0.00889852333553993,15145.8571428571,0,0.748866101360678,0.854477057862694,21,0.01,0.720930232558139,0.871428571428571,"France"
"46395",19157,875,0.457745618520554,38709,1,0.748869655083323,0.854729073606526,21,0.01,0.720930232558139,0.871657754010695,"France"
"46396",19158,876,0.20715142227306,38440.2857142857,1,0.748873196192815,0.854980216755548,21,0.01,0.720930232558139,0.871886120996441,"France"
"46397",19159,877,0.149409875490891,40287.4285714286,1,0.748876724756189,0.855230491840414,21,0.01,0.720930232558139,0.872113676731794,"France"
"46398",19160,878,0.176868577606434,47506.1428571429,1,0.748876724756189,0.853759083713795,21,0.01,0.718543046357616,0.872113676731794,"France"
"46399",19161,879,0.103119167181288,47519.5714285714,1,0.748876724756189,0.852292729951769,21,0.01,0.716171617161716,0.872113676731794,"France"
"46400",19162,880,0.06085880492383,47519.5714285714,1,0.748876724756189,0.850831404555975,21,0.01,0.713815789473684,0.872113676731794,"France"
"46401",19163,881,0.19390847777692,62082,1,0.748876724756189,0.849375081706053,21,0.01,0.711475409836066,0.872113676731794,"France"
"46402",19164,882,0.0399114004277225,50498.4285714286,1,0.749740381913477,0.849375081706053,21,0.01,0.712418300653595,0.872113676731794,"France"
"46403",19165,883,0.0453816490424235,54214.8571428571,1,0.750598118893252,0.849375081706053,21,0.01,0.713355048859935,0.872113676731794,"France"
"46404",19166,884,0.0493343778853618,58039.2857142857,1,0.751449996359842,0.849375081706053,21,0.01,0.714285714285714,0.872113676731794,"France"
"46405",19167,885,0.0598138674474085,62137.1428571429,1,0.752296074151556,0.849375081706053,21,0.01,0.715210355987055,0.872113676731794,"France"
"46406",19168,886,0.0400445654077776,62137.1428571429,1,0.753136411294696,0.849375081706053,21,0.01,0.716129032258065,0.872113676731794,"France"
"46407",19169,887,0.0258017904340298,62137.1428571429,1,0.753971066017284,0.849375081706053,21,0.01,0.717041800643087,0.872113676731794,"France"
"46408",19170,888,0.0499759449750561,71120.1428571429,1,0.754800095762509,0.849375081706053,21,0.01,0.717948717948718,0.872113676731794,"France"
"46409",19171,889,0.0514298858841388,78597.7142857143,1,0.755623557201911,0.849375081706053,21,0.01,0.718849840255591,0.872113676731794,"France"
"46410",19172,890,0.0688403160600514,85276.1428571429,1,0.756441506248291,0.849375081706053,21,0.01,0.719745222929936,0.872113676731794,"France"
"46411",19173,891,0.079831786544243,92918.1428571429,1,0.757253998068366,0.849375081706053,21,0.01,0.720634920634921,0.872113676731794,"France"
"46412",19174,892,0.064149512487342,99454.7142857143,1,0.758061087095174,0.849375081706053,21,0.01,0.721518987341772,0.872113676731794,"France"
"46413",19175,893,0.0192947784393909,99454.7142857143,1,0.758862827040231,0.849375081706053,21,0.01,0.722397476340694,0.872113676731794,"France"
"46414",19176,894,-0.0210546493274077,99454.7142857143,0,0.759659270905443,0.849375081706053,21,0.01,0.723270440251572,0.872113676731794,"France"
"46415",19177,895,-0.016931460938834,110669.571428571,0,0.76045047099479,0.849375081706053,21,0.01,0.724137931034483,0.872113676731794,"France"
"46416",19178,896,0.0750862059171702,119184.571428571,1,0.761236478925774,0.849375081706053,21,0.01,0.725,0.872113676731794,"France"
"46417",19179,897,0.0558317034799047,123462.285714286,1,0.762017345640644,0.849375081706053,21,0.01,0.725856697819315,0.872113676731794,"France"
"46418",19180,898,0.0440483667888288,127450.714285714,1,0.762793121417405,0.849375081706053,21,0.01,0.726708074534162,0.872113676731794,"France"
"46419",19181,899,0.0422179871112043,129755.285714286,1,0.763563855880604,0.849375081706053,21,0.01,0.727554179566563,0.872113676731794,"France"
"46420",19182,900,0.0190465929638546,129755.285714286,1,0.764329598011919,0.849375081706053,21,0.01,0.728395061728395,0.872113676731794,"France"
"46421",19183,901,-0.00121253495969403,129755.285714286,0,0.764329598011919,0.84792373575812,21,0.01,0.726153846153846,0.872113676731794,"France"
"46422",19184,902,0.0168550386495478,130910.285714286,1,0.764329598011919,0.84647734124327,21,0.01,0.723926380368098,0.872113676731794,"France"
"46423",19185,903,-0.0323294845566164,127480.428571429,0,0.765090396160528,0.84647734124327,21,0.01,0.724770642201835,0.872113676731794,"France"
"46424",19186,904,-0.0473868450542802,123634,0,0.765846298053292,0.84647734124327,21,0.01,0.725609756097561,0.872113676731794,"France"
"46425",19187,905,-0.0702229918296667,100596.142857143,0,0.763367113658853,0.846474911532529,21,0.01,0.725609756097561,0.870567375886525,"France"
"46426",19188,906,-0.048948407780536,80448.4285714286,0,0.760904008510446,0.846472490346033,21,0.01,0.725609756097561,0.869026548672566,"France"
"46427",19189,907,-0.0557747076091355,80448.4285714286,0,0.758456826269087,0.846470077639003,21,0.01,0.725609756097561,0.867491166077738,"France"
"46428",19190,908,-0.0644943856042757,80448.4285714286,0,0.758460215488897,0.846731902470671,21,0.01,0.725609756097561,0.867724867724868,"France"
"46429",19191,909,-0.066634457643447,95643,0,0.7560288130285,0.84672950996618,21,0.01,0.725609756097561,0.866197183098592,"France"
"46430",19192,910,-0.0319897176477132,88813.5714285714,0,0.756032201516285,0.846990453710205,21,0.01,0.725609756097561,0.866432337434095,"France"
"46431",19193,911,0.00588752203883013,83444.8571428571,0,0.756035578144854,0.847250509164969,21,0.01,0.725609756097561,0.866666666666667,"France"
"46432",19194,912,-0.00386802214655785,94997.5714285714,0,0.756038942976356,0.847509680865269,21,0.01,0.725609756097561,0.866900175131349,"France"
"46433",19195,913,-0.00432938562654902,105651,0,0.756042296072508,0.847767973315039,21,0.01,0.725609756097561,0.867132867132867,"France"
"46434",19196,914,-0.00462613295600577,105651,0,0.756045637494595,0.848025390987614,21,0.01,0.725609756097561,0.867364746945899,"France"
"46435",19197,915,-0.00493075979109718,105651,0,0.756048967303478,0.848281938325991,21,0.01,0.725609756097561,0.867595818815331,"France"
"46436",19198,916,0.0804675723191747,73096.1428571429,0,0.756052285559595,0.848537619743085,21,0.01,0.725609756097561,0.867826086956522,"France"
"46437",19199,917,0.0774432637946055,66486,0,0.756055592322965,0.848792439621981,21,0.01,0.725609756097561,0.868055555555556,"France"
"46438",19200,918,0.0618437870059657,62005.7142857143,0,0.756058887653193,0.849046402316191,21,0.01,0.725609756097561,0.868284228769497,"France"
"46439",19201,919,0.0432915592029516,57831.7142857143,0,0.756062171609471,0.849299512149901,21,0.01,0.725609756097561,0.868512110726644,"France"
"46440",19202,920,0.0272502334546538,53694,0,0.756065444250584,0.849551773418215,21,0.01,0.725609756097561,0.86873920552677,"France"
"46441",19203,921,0.0036101207035925,53694,0,0.756068705634914,0.849803190387404,21,0.01,0.725609756097561,0.868965517241379,"France"
"46442",19204,922,-0.0189864441963712,53694,0,0.756071955820439,0.850053767295147,21,0.01,0.725609756097561,0.869191049913941,"France"
"46443",19205,923,-0.0280069512087073,46570.1428571429,0,0.756075194864741,0.850303508350767,21,0.01,0.725609756097561,0.869415807560137,"France"
"46444",19206,924,-0.0296861032135442,41784.7142857143,0,0.756078422825009,0.850552417735472,21,0.01,0.725609756097561,0.869639794168096,"France"
"46445",19207,925,-0.0373309536917566,39002.8571428571,0,0.75608163975804,0.850800499602589,21,0.01,0.725609756097561,0.86986301369863,"France"
"46446",19208,926,0.0305456811874088,36408.5714285714,0,0.756084845720244,0.851047758077795,21,0.01,0.725609756097561,0.87008547008547,"France"
"46447",19209,927,0.0573306232618147,34263.2857142857,0,0.756088040767646,0.851294197259347,21,0.01,0.725609756097561,0.870307167235495,"France"
"46448",19210,928,0.0430579789749294,34263.2857142857,0,0.756091224955892,0.851539821218312,21,0.01,0.725609756097561,0.870528109028961,"France"
"46449",19211,929,0.0318626925011304,34263.2857142857,0,0.756094398340249,0.85178463399879,21,0.01,0.725609756097561,0.870748299319728,"France"
"46450",19212,930,0.00175224944747237,30722.2857142857,0,0.75609756097561,0.852028639618138,21,0.01,0.725609756097561,0.870967741935484,"France"
"46451",19213,931,0.00886348672377183,28340.1428571429,0,0.756100712916496,0.852271842067193,21,0.01,0.725609756097561,0.871186440677966,"France"
"46452",19214,932,0.0113162918991958,26599.1428571429,0,0.756103854217062,0.852514245310485,21,0.01,0.725609756097561,0.871404399323181,"France"
"46453",19215,933,-0.0271723705404792,25290.5714285714,0,0.756106984931095,0.852755853286463,21,0.01,0.725609756097561,0.871621621621622,"France"
"46454",19216,934,-0.0883381155087986,24146.4285714286,0,0.756110105112023,0.852996669907699,21,0.01,0.725609756097561,0.871838111298482,"France"
"46455",19217,935,-0.14008999621759,24146.4285714286,0,0.756113214812913,0.85323669906111,21,0.01,0.725609756097561,0.872053872053872,"France"
"46456",19218,936,-0.244983545672086,24146.4285714286,0,0.756116314086477,0.853475944608161,21,0.01,0.725609756097561,0.872268907563025,"France"
"46457",19219,937,-0.057777158961311,16279.1428571429,0,0.756119402985075,0.853714410385077,21,0.01,0.725609756097561,0.87248322147651,"France"
"46458",19220,938,-0.0546969256422473,17674.2857142857,0,0.756122481560714,0.853952100203048,21,0.01,0.725609756097561,0.872696817420435,"France"
"46459",19221,939,-0.0610399488583204,18909.7142857143,0,0.756125549865057,0.854189017848435,21,0.01,0.725609756097561,0.872909698996655,"France"
